33475,Contract Systems Analyst (Bid Ref 53998-1),1,1,Others,Contract,03 Apr 2025,01 May 2025 to 31 Jul 2025 (3 months),under InfoTech,Government T26 Contract,"Sheung Wan, Central and Wanchai",N/A - N/A,"""(T26) (a) IT security solution implementation and support; ;(b) Technical and feasibility study, system installation and acceptance testing of IT systems; ;(c) Network/system architecture design, LAN establishment/enhancement and maintenance; ;(d) IT Security Risk Assessment/Audit, Security Policy and related documents review; ;(e) Implementation of Log Management System; and;(f) Computer client rollout, hardware and software management.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DOJ; ;(a) Support, Test and implement IT security solutions; ;(b) Handle problems for network, servers and PCs, provide solutions and follow up with vendors as appropriate; ;(c) Carry out system administration and support for IT infrastructure, Windows servers and virtualization environment; ;(d) Carry out quality control and quality assurance, and project management duties; ;(e) Carry out network and system architecture design and evaluate new software solutions; ;(f) Provide support to the existing network infrastructure; ;(g) Monitor and carry out all phases of IT projects including feasibility study, systems analysis and design, procurement and installation of computer systems, implementation, system nursing and maintenance; ;(h) Carry out IT Security Risk Assessment and/or Audit for new implementation as well as existing IT infrastructure; ;(i) Review IT Security Policy and related documents of DoJ; ;(j) Carry out server and office relocation; and;(k) Perform any other duties (e.g. on-call support duty during non-office hours, weekends and public holidays) as may be required from time to time relevant to the implementation and maintenance support of the above and any other systems of the department. ;""",10.0,8.0,"""Candidates must possess:;;(a) At least 7 years' experience in system administration activities for Windows Servers, e.g. backup management, patch management and users account management; ;(b) At least 8 years' experience in carrying out IT project implementation in the HKSAR Government; ;(c) At least 5 years' experience in carrying out IT Security Risk Assessment and Audit exercise and other related activities such as drafting the IT Security Policy, security assessment report; ;(d) Experience in supporting Government applications; and;(e) Experience in Data Centre/Server Room/Computer Rooms design, implementation, site preparation and relocation; and;;Holder of the following qualification is a plus :;;(a) Microsoft Certified System Engineer; or;(b) Cisco Certified Network Professional (CCNP); or;(c) Cisco Certified Network Associate (CCNA); or;(d) Cisco Certified Design Professional (CCDP); or;(e) Cisco Certified Design Associate (CCDA); or;(f) Certified Information Systems Security Professional (CISSP); or;(g) Certified Information Systems Auditor (CISA); or;(h) Project Management Professional (PMP). ;Technical Skills: ;. At least 6 years' experience in IT Security (ITS); ;. At least 6 years' experience in Windows 7/8/10 (W10); ;. At least 5 years' experience in Microsoft Active Directory Administration (ADA); ;. At least 5 years' experience in CISCO IOS Software & CISCO Products (CIP); ;. At least 5 years' experience in e-Leave (ELE); ;. At least 5 years' experience in Networking (NET); ;. At least 5 years' experience in Security Risk Assessment (SRA); ;. At least 5 years' experience in Virtual Private Network (VPN). ;Non-technical Skills: ;. At least 5 years' experience in work with the Government (GOV); ;. At least 3 years' experience in Government procurement/disposal procedures (GPD); ;. At least 3 years' experience in IT audit (ITA); ;. At least 3 years' experience in managing Government projects (MGP). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 10 years' post-qualification experience in which at least 8 years' relevant experience in a similar post and in a comparable capacity.""",N/A,21 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33475"")",ADA,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,CIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELE,,,,,,,,,,,GPD,,,,,,,,,,,,,,,,,,,,,,,IOS,,,,,,ITA,,,,ITS,,,,,,,,,,,,,,,,,,,,,,,MGP,,,,,,,,,,,,,,,,NET,,,,,,,,,,,,,,,,,,,,,,PMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRA,,,,,,,,,,,,,,,,,,,,,,,VPN,,,,,,,,,,,,,,,,,,,,,,,,,,,
33476,Contract Systems Analyst (Bid Ref 54020-1),1,1,Others,Contract,07 Apr 2025,01 Jun 2025 to 28 Feb 2026 (8 months),under InfoTech,Government T26 Contract,Admiralty,N/A - N/A,"""(T26) Implementation of new infrastructure projects/initiatives of the Hong Kong Police Force (HKPF) and supporting maintenance and/or enhancement of existing IT systems/infrastructures.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HKPF; ;- To manage, oversee, monitor and implement new infrastructure projects/initiatives;;- To coordinate with application teams, business users and infrastructure contractors to achieve the project goals;;- To support the Force's mission-critical systems, including UNIX servers, disaster recovery solutions, and related hardware and software; ;- To apply patches to systems;;- To handle production incident timely;;- To resolve problems;;- To provide first line support on a roster basis;;- To provide technical advice to project team; and;- To provide other services when required. ;""",8.0,2.0,"""- Experience in project management, implementation and system maintenance/support of government IT infrastructure projects;;- Solid knowledge and experience in the implementation and support of mission-critical mid-range systems and IT Infrastructure on UNIX is required;;- Solid knowledge and experience in Linux;- Solid knowledge and experience in application load balancer technology;;- Solid knowledge and experience in virtualization platform;;- Knowledge in data center structural cabling;;- Experience in cloud technology is an advantage; ;(Security vetting is required before candidate reports for duty) ;Technical Skills: ;. At least 2.7 years' experience in Experience in Datacentre Maintenance (DCM); ;. At least 2.7 years' experience in Linux System Administration (LIN); ;. At least 2.7 years' experience in Structured Query Language (SQL). ;Non-technical Skills: ;. At least 3.5 years' experience in work with the Government (GOV); ;. At least 2.6666666666667 years' experience in vendor management (VMG); ;. At least 1 year's experience in project management (PRM). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,21 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33476"")",,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33446,Contract Systems Analyst (Bid Ref 53374-1),1,1,Others,Contract,27 Mar 2025,01 May 2025 to 28 Feb 2026 (9 months),under InfoTech,Government T26 Contract,"Room 613, 6/F., West Wing, Central Government Offices, 2 Tim Mei Avenue, Tamar, Hong Kong",N/A - N/A,"""(T26) Project initiation, implementation and on-going support of IT projects proposed in the Departmental IT Plan of CSB.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the CSBU; ;A Systems Analyst is mainly deployed to perform the following duties:;1. Responsible for feasibility study, implementation, development, system maintenance and support of IT systems and services;;2. Provide delivery works including feasibility study, design, application and/or system programming, testing, system acceptance, data conversion, training, capacity planning, technical support and quality assurance;;3. Liaise with parties concerned (including users, vendors, computer operators) for requirement study, implementation and on-going activities support;;4. Assist supervisors in vendor management;;5. Assist supervisors in managing outsourcing services including quality assurance of deliverables and service acceptance;;6. Assist supervisors in reviewing the technical architecture proposed by vendors and conducting technical study on new technologies;;7. Participate in procurement processes of IT systems, products and services;;8. Support supervisor in providing technical advice to management, user or community as appropriate;;9. Perform evaluation and research of new hardware, software and technologies; ;10. Provide problem resolution for system failure that may happen outside normal office hours; and;11. Assist supervisors in initiation, implementation and maintenance support of other IT projects proposed in the Departmental IT Plan of CSB. ;""",6.0,4.0,"""1. Bachelor degree or equivalent;;2. At least six (6) years' post-qualification full-time IT experience of which at least four (4) years must be in a similar post and in a comparable capacity;;3. Experience in software development life cycle;;4. Experience in Java and PHP technology;;5. Good knowledge of Microsoft Windows Server; ;6. Strong analytical and problem solving skills;;7. Good interpersonal and communication skills; and;8. Good oral and written communication skills in both Chinese (essentially Cantonese) and English. ;Technical Skills: ;. At least 4 years' experience in IT Application Development and Management (ADM); ;. At least 4 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 4 years' experience in Structured Query Language (SQL); ;. At least 2 years' experience in JAVA Programming (JAV); ;. At least 2 years' experience in PHP programming (PHP); ;. 4 years' experience in PRINCE (PRE) is an advantage; ;. 4 years' experience in SSADM (SDM) is an advantage; ;. 3 years' experience in Data Modeling (DMO) is an advantage; ;. 3 years' experience in Enterprise Application Integration (EAI) is an advantage; ;. 3 years' experience in Object-oriented Analysis and Design (OOA) is an advantage; ;. 2 years' experience in JavaScript Programming (JAP) is an advantage; ;. 2 years' experience in J2EE Development (JDE) is an advantage; ;. 1 year's experience in Server Virtualisation Technology (SVT) is an advantage; ;. 1 year's experience in Windows Server 2008/2012 (W12) is an advantage. ;Non-technical Skills: ;. 4 years' experience in work with the Government (GOV) is an advantage; ;. 2 years' experience in IT service/outsourcing management (OUT) is an advantage; ;. 1 year's experience in Government procurement/disposal procedures (GPD) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,20 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33446"")",,ADM,,GOV,,,OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMO,,,,,,,,,,,EAI,,,,,,,,,,,,,,,,,,GPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAP,,JAV,JDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOA,,,,,,,PHP,,,,,,,PRE,,,,,,,,,,,,,,,,,,,,,,,,SDM,,,SIM,,,,,,SQL,,,,,,SVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33490,Contract Systems Analyst (Bid Ref 54023-1),1,1,Others,Contract,03 Apr 2025,01 May 2025 to 31 Jul 2025 (3 months),under InfoTech,Government T26 Contract,"Sheung Wan, Queensway, Wan Chai, Central",N/A - N/A,"""(T26) a) IT system projects feasibility study, development, implementation, maintenance and support.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DOJ; ;1. Project planning and monitoring;;2. Perform system analysis and design;;3. Supervise sub-ordinate programmers;;4. Develop program;;5. Conduct program unit test, system test and load test;;6. Produce documentation;;7. Assist user to conduct user acceptance test;;8. Conduct user training; ;9. Provide maintenance and on-going support for DOJ systems; and;10. Perform any other duties (e.g. helpdesk, on-call support duty during non-office hours, weekends and public holidays) as may be required from time to time relevant to the implementation and maintenance support of the above and any other systems of the department. ;""",6.0,3.0,"""- Experiences and/or knowledge in Government Legal Workflow System would be an advantage.;- Knowledge and experience in user training, implementation and support of iPads/ Mobile device;- Any other duties which may be assigned for implementation of the project;- It is required to render on site support services at user offices scattered in various locations of Kowloon and Hong Kong Island. ;Technical Skills: ;. At least 6 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 6 years' experience in Wireless and Mobile (WLM); ;. At least 4 years' experience in Server Virtualisation Technology (SVT); ;. At least 4 years' experience in Mobile / Wireless Communication (MWC); ;. At least 3 years' experience in Wireless/mobile Email solution (WME). ;Non-technical Skills: ;. At least 6 years' experience in work with the Government (GOV); ;. At least 6 years' experience in conducting IT training/briefing (ITT); ;. Good spoken English is a must. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,21 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33490"")",,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM,,,,,,,,,,,,SVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,WLM,,WME,,,,,,,,,,,,,,,
33488,Contract Systems Analyst (Bid Ref 54021-1),1,1,Others,Contract,03 Apr 2025,01 May 2025 to 31 Jul 2025 (3 months),under InfoTech,Government T26 Contract,"Sheung Wan, Wan Chai, Central",N/A - N/A,"""(T26) IT helpdesk and system support services""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DOJ; ;(a) To provide telephone and on-site helpdesk services to end-users, and trouble-shoot problems on PCs and computer equipment ;(b) To assist in setting up Video Conference System for remote court hearing ;(c) To assist in diagnosing PC hardware and software problems, providing solutions and arranging for follow-up action with vendors as appropriate;(d) To provide user support for general office automation systems (e.g. Lotus Notes, Outlook, Confidential Mail, iNotes, Windows 10, MS Office, Internet Explorer, Chrome) and dedicated system (OpenText eDocs Document Management System);(e) To assist in testing new hardware and software products;(f) To assist in system administration work of the computer network, monitoring performance of major systems, and backing up of servers and computer systems;(g) To perform any other computer-related and administrative duties assigned by senior officers ;""",5.0,3.0,"""- Experience in providing user support to OpenText eDocs Document Management is a definite advantage.;(h) To install PC hardware (e.g. PC, printer, RAM, hard disk, DVD drive, Chinese inputting device, sound card, etc.) and software, and set up multi-media equipment at various offices of the Department;- There may be occasions that the successful candidate will be asked to perform duties during weekends.;- It is required to render on site support services at user offices scattered in various locations of Kowloon and Hong Kong Island. ;Technical Skills: ;. At least 7 years' experience in Document Management System (DMS); ;. At least 7 years' experience in Endpoint Security Solutions (ESS); ;. At least 5 years' experience in System Backup Operation (BKO); ;. At least 3 years' experience in Video Conference Technology (VCT). ;Non-technical Skills: ;. At least 7 years' experience in work with the Government (GOV); ;. At least 7 years' experience in helpdesk call handling (HDT); ;. Good spoken English is a must; ;. At least 7 years' experience in negotiation (NEG). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,21 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33488"")",,,,GOV,,,,,,,,,,,,,,,,,,,,BKO,,,,,,,,,,,,,,,,,,,,,,,,,,DMS,,,,,,,,DVD,,,,,,,,,,,,,ESS,,,,,,,,,,,,,HDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33465,Contract Senior Systems Analyst (Bid Ref 53813-1),1,2,Others,Contract,27 Mar 2025,02 May 2025 to 30 Apr 2026 (11 months),under InfoTech,Government T26 Contract,Hong Kong Island,N/A - N/A,"""(T26) To provide operation and administrative support for the preparatory work involved in the establishment of the Hong Kong Artificial Intelligence Research and Development Institute (AIRDI). The establishment of the AIRDI aims to spearhead and support Hong Kong's innovative research and development (R&D) as well as industrial application of artificial intelligence (AI).""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;The CSSA will be required to;1. co-ordinate with different parties, including internal teams, consulting teams and other B/Ds, to ensure effective information flow among them for the preparatory work of the establishment of the AIRDI;;2. collect and analyse data relevant to team operations, preparing reports and presentation materials to support decision-making and performance evaluation;;3. maintain and organise electronic and physical files, ensuring all documents are up-to-date, accurately recorded, and easily accessible for team members;;4. provide comprehensive administrative support, including prioritising tasks, managing schedules, and organising meetings; and;5. carry out other duties as assigned by the supervisors. ;""",6.0,2.0,"""1. Candidate should possess working experience in supporting AI-related project.;2. Candidate should have strong sense of analytical and problem solving skills.;3. Candidate should be hard-working and self-motivate with positive attitude.;4. Candidate should be a team-player with good communication and interpersonal skills. ;Technical Skills: ;. At least 2 years' experience in IT Operational Management (OPM); ;. 2 years' experience in System Implementation and Maintenance/Support (SIM) is an advantage; ;. 2 years' experience in Electronic Service Delivery (ESD) is an advantage. ;Non-technical Skills: ;. Good written English is a must; ;. 1 year's experience in managing G2B and G2C projects (GBC) is an advantage; ;. 1 year's experience in work with the Government (GOV) is an advantage; ;. 1 year's experience in Government tendering procedures (GTP) is an advantage; ;. Good Putonghua is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,20 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33465"")",,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESD,,,,GBC,,,,,,,GTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33308,Contract Systems Analyst (Bid Ref 53874-1),1,1,Application Development,Contract,21 Mar 2025,01 May 2025 to 31 Oct 2026 (18 months),under InfoTech,Government T26 Contract,"Wan Chai, Hong Kong",N/A - N/A,"""(T26) Manage Central Operations Support System (COSS), Public Enquiry Management System (PEMS) and other IT projects""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the WSD; ;1. Perform project management of outsourced Information and Communications Technology (ICT) projects ;2. Participate in the funding application, tendering and procurement in various projects ;3. Work with business owners to establish a clear programme of activities ;4. Assist in collecting and consolidating user requirements and turn them into structural system specifications ;5. Prepare technical specifications for application, hardware equipment, software, and services ;6. Assist in design, development and implementation of applications and systems ;7. Design the system infrastructure and network security measures ;""",6.0,4.0,"""- solid experience in system analysis, design and implementation on system development project ;- solid experience in contractor management ;- solid experience in collecting and consolidating user requirements and turn them into structural system specifications ;- knowledge in Government tender preparation and administration ;- knowledge of network security, cloud-computing, mobile application and micro-service technologies and architecture ;- knowledge of relational database administration ;- knowledge of programming in Spring Framework, JAVA, Javascript and SQL ;Technical Skills: ;. At least 4 years' experience in IT Application Development and Management (ADM); ;. At least 4 years' experience in Data Management (DMT); ;. At least 4 years' experience in Information System Study (ISS); ;. At least 4 years' experience in IT Planning (ITP); ;. At least 4 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 2 years' experience in Structured Query Language (SQL); ;. At least 2 years' experience in JavaScript Programming (JAP); ;. At least 2 years' experience in JAVA Programming (JAV); ;. At least 2 years' experience in Microsoft SQL Server (MSS). ;Non-technical Skills: ;. Good coordination skills is a must; ;. At least 1 year's experience in work with the Government (GOV); ;. At least 1 year's experience in managing Government IT standards (ITG); ;. At least 1 year's experience in IT service/outsourcing management (OUT); ;. At least 1 year's experience in vendor management (VMG). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,14 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33308"")",,ADM,,GOV,,,OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISS,,,ITG,ITP,,,,JAP,,JAV,,,,,,,,,,,,,,,,,,,,,,,,,MSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33069,Contract Systems Analyst (Bid Ref 52996-1),1,1,Others,Contract,21 Mar 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,"Cheung Sha Wan Government Offices, Sham Shui Po",N/A - N/A,"""(T26) Manage the Maintenance Accounting and Information Systems (MAINS) and provide necessary IT related support to the MAQS Unit of the HyD""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HyD; ;1. Organise, oversee and implement the remaining works (e.g. enhancement nursery, manual updates, etc) stemming from internal / external audit departments ;2. Organise, oversee and implement the interfacing works between MAINS and RMMS and other HyD systems ;3. Seek and propose improvement to the MAINS to suit the increasing user expectation ;4. Assist the Internal Project Manager in the forthcoming MAINS revamp project ;5. Handle other ad-hoc IT related duties, including but not limited to ;a) monitoring and supervising the IT services contractors, adopt hands on approach if required; ;b) coordinating with other HyD divisions; ;c) reviewing the system manuals; and ;d) reporting and presenting the system status to the management. ;""",4.0,1.0,"""Please refer to technical requirements. ;Technical Skills: ;. At least 3 years' experience in JavaScript Programming (JAP); ;. At least 3 years' experience in J2EE Development (JDE); ;. At least 3 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 3 years' experience in Structured Query Language (SQL); ;. At least 3 years' experience in XML (XML); ;. 3 years' experience in Microsoft SQL Server (MSS) is an advantage; ;. 1 year's experience in Reporting (Crystal Report, iReport) (REP) is an advantage. ;Non-technical Skill: ;. 1 year's experience in work with the Government (GOV) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,28 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33069"")",,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAP,,,JDE,,,,,,,,,,,,,,,,,,,,,,,,MSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REP,,,,,,,,,,,,,,SIM,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XML,,,,,,,,,,,
33215,Contract Systems Analyst (Bid Ref 53750-1),1,1,Others,Contract,21 Mar 2025,02 May 2025 to 28 Feb 2026 (9 months),under InfoTech,Government T26 Contract,"Tseung Kwan O and occasionally at various Immigration offices, data centres and control points",N/A - N/A,"""(T26) Computer project support and implementation, including support for the implementation for the Next Generation Immigration Enquiry Services System (IESS-2) and system support of Document Management Sub-system (Administration) (DMS(Adm)) of the Immigration Department (ImmD).""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the ImmD; ;The CSA shall be responsible for providing IT support and advice for the system support and system enhancement relating to document management and system implementation relating to the systems integration, enquiry services and call centre application development and other operation and supporting services for handling enquiry requests for the IESS-2. The CSA shall also assist in related site preparation, system design, system testing and production roll out.;;The key duties are as follows:;(a) to perform the system support and enhancements support including assessment and implementation of application related to document management, enquiry services and call centre related operation, etc;;(b) to evaluate the most appropriate and cost-effective technical solution for the implementation and enhancements related to document management, enquiry services and call centre related operation, etc;;(c) to collaborate with related stakeholders from both business and technical aspects and provide technical support for system implementation;;(d) to monitor and examine contractor's work and performance of contractors and his/her subordinates through examination of program source codes, perform database enquiry to verify the business logic and ensure version controls, etc.;(e) to execute and assure the proper change management related to document management, enquiry services and call centre related operation, etc; ;(f) to support and monitor resilience test and load test; and ;(g) to perform any other duties as may be required. ;""",4.0,1.0,"""The CSA shall be able to work independently, and shall possess strong analytical, system design, programming and testing skills. The CSA shall have good experience in technical support and advisory on call centre application as well as system implementation and enhancements. Good knowledge on call centre related application development. The CSA may be required to work occasionally outside normal office hours to carry out the duties. ;;Criminal record check is required. ;Technical Skills: ;. At least 2 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF); ;. At least 2 years' experience in Web Services (WSV); ;. At least 6 months' experience in SQL Server Reporting Services (SRS). ;Non-technical Skills: ;. At least 1 year's experience in the management and support of Government systems and services (GSS); ;. At least 1 year's experience in vendor management (VMG). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,07 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33215"")",,,,,GSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,WSV,,,,,,,,,,SRS,,
