33919,Contract Systems Analyst (Bid Ref 54329-1),1,1,Others,Contract,02 May 2025,01 Jul 2025 to 31 May 2026 (11 months),under InfoTech,Government T26 Contract,Admiralty,N/A - N/A,"""(T26) - Provide Linux System Support for all mid-range systems of the Force.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HKPF; ;- To support the Force's mission-critical mid-range systems, including UNIX, Linux servers and related hardware and software; and;- To provide infrastructure design and product / solution evaluation & recommendation for enterprise infrastructure. ;""",12.0,7.0,"""a) To possess solid knowledge and experience in the implementation and support of mission-critical mid-range systems and IT Infrastructure on AIX, Linux platform, Red Hat Linux servers and helpdesk problem tracking management systems;;b) To provide first line support on a roster basis;;c) To apply patches to systems;;d) To handle production incident timely;;e) To resolve problems;;f) To provide technical advice to project teams;;g) To provide other services when required; and;h) Knowledge in Software Defined Network (SDN) is an advantage.;(Security vetting is required before candidate reports for duty) ;Technical Skills: ;. At least 7.5 years' experience in HACMP (HAC); ;. At least 7.5 years' experience in IBM AIX Administration (IAA); ;. At least 6 years' experience in Red Hat Advanced Server (RHS); ;. At least 6 years' experience in Cognos (COG); ;. At least 6 years' experience in DB2 Administration (DBA). ;Non-technical Skills: ;. At least 10 years' experience in work with the Government (GOV); ;. At least 6 years' experience in vendor management (VMG); ;. At least 1 year's experience in IT procurement (PRO). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 12 years' post-qualification experience in which at least 7 years' relevant experience in a similar post and in a comparable capacity.""",N/A,17 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33919"")",,,,,,,,,,,,,,,,,,,,,,,,,,COG,,,DBA,,,,,,,,,,,,,,,,,,,,GOV,,,,,HAC,,,,,IAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRO,,,,,,RHS,,,,,SDN,,,,,,,,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,,
33945,Contract Systems Analyst (Bid Ref 54335-1),1,1,Others,Contract,02 May 2025,09 Jun 2025 to 30 Sep 2025 (3 months),under InfoTech,Government T26 Contract,Hong Kong Island,N/A - N/A,"""(T26) Provide technical support and helpdesk services for the """"IT Innovation Lab in Schools"""" Programme. Needs to communicate and collaborate with the school community.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;The main job duties are as follows: ;- Answer both technical and general queries from schools, provide helpdesk support and professional advices to schools to assist them in organising and conducting IT-related extra-curricular activities (ECAs), such as activity design, procurement of hardware, software, cloud services and training courses, etc. ;- Coordinate with schools and provide assistance to them in submitting funding applications (including the pre-application vetting), annual reports and financial reports. ;- Coordinate inter-schools ECAs, conduct school surveys, support promotion activities, and pay visits to schools if necessary. ;- Conduct research/study and evaluate hardware/software/professional services related to the organisation of IT-related ECAs in schools. ;- Work with other technical support teams to maintain the web content of the thematic portal and various e-Forms. ;- Any other duties assigned by the supervisors. ;- In addition, he/she may be required to work in non-office hours on need basis. ;""",4.0,1.0,"""- Sound experience in providing customer supports, helpdesk supports and consultancy services. ;- Experience in handling of funding application of government funding scheme is preferable. ;- Experience in providing operation supports to systems which are using government e-Forms and integrated with the government authentication and signing system is preferable. ;- Rich knowledge of information technology (including cyber security). ;- Good knowledge of emerging technologies (such as artificial intelligence, cloud services, big data, Internet of Things, augmented reality, virtual reality, robotics building/coding, etc.) is preferable. ;- Experience in website content management and updating, and development of e-Forms, is preferable. ;- Experience in organising events (such as exhibitions, seminars, etc.) and providing event supports is preferable. ;- Good command of written and spoken Chinese and English. ;- Good communication and interpersonal skills. ;Technical Skills: ;. At least 1 year's experience in Web Hosting, Design and Maintenance (WED); ;. 1 year's experience in IT Application Development and Management (ADM) is an advantage; ;. 1 year's experience in Electronic Form (EFM) is an advantage; ;. 1 year's experience in System Implementation and Maintenance/Support (SIM) is an advantage. ;Non-technical Skills: ;. At least 1 year's experience in customer service (CLS); ;. At least 1 year's experience in customer relations (ECR); ;. At least 1 year's experience in helpdesk call handling (HDT); ;. Good spoken English is a must; ;. Good written English is a must; ;. 1 year's experience in IT advisory and promotion, e.g. exhibition, publication (APR) is an advantage; ;. 1 year's experience in managing Government projects (MGP) is an advantage; ;. 1 year's experience in IT in the community e.g. promote the use of IT/IT awareness (ITC) is an advantage; ;. 1 year's experience in work with the Government (GOV) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,17 Apr 2025,itcareer@infotech.com.hk,3978 8032,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33945"")",,ADM,APR,,,,,,,,,,,,,,,,,,,,,CLS,,,,,,,,,,,,,,,ECR,EFM,,,,,,,,,GOV,,,,,,,HDT,,,,,,,,,,,,,,,ITC,,,,,,,,,,,,,,,,,,,MGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,,,,,,,,,,,WED,,,,,,,,,
33888,Contract Systems Analyst (Bid Ref 54218-1),1,1,Others,Contract,25 Apr 2025,02 May 2025 to 31 Aug 2025 (3 months),under InfoTech,Government T26 Contract,Kwun Tong,N/A - N/A,"""(T26) To upgrade the hardware platform of a mission critical IT system riding on Java EE and Oracle RDBMS technologies and to migrate selected servers of this IT system to the Government Cloud (GCIS).""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the REO; ;. To study the architecture design of the system ;. To participate in designing the new architecture of the system ;. To participate in planning the upgrade / migration ;. To coordinate with vendors and support teams inside and outside the Government as to facilitate the upgrade / migration ;. To monitor and troubleshoot setup and configuration problems during the upgrade / migration ;. To design and execute test plans for the new architecture, e.g. local resilience tests, site failover tests, etc. ;. To support and participate in drills ;. To maintain documentation relevant to the upgrade / migration ;. To provide nursing and maintenance support to the upgraded / migrated system ;. To support any other duties as to support the upgrade / migration ;""",5.0,2.0,"""Please refer to the technical and non-technical requirements. ;Technical Skills: ;. At least 4 years' experience in IBM AIX Unix (IBX); ;. At least 4 years' experience in Unix/Linux Shell Scripting (ULS); ;. At least 4 years' experience in WebSphere Application Server (WAS); ;. At least 3 years' experience in IBM AIX Administration (IAA); ;. At least 3 years' experience in Server Virtualisation Technology (SVT); ;. At least 3 years' experience in Disaster Recovery Planning (DRP); ;. 1 year's experience in EGIS (EGI) is an advantage; ;. 1 year's experience in Apache Web Server (AWS) is an advantage; ;. 1 year's experience in batch job monitoring (BJM) is an advantage; ;. 1 year's experience in System Backup Operation (BKO) is an advantage; ;. 1 year's experience in Linux System Administration (LIN) is an advantage; ;. 1 year's experience in Storage Area Network (SAN) is an advantage. ;Non-technical Skills: ;. At least 1 year's experience in IT procurement (PRO); ;. Good coordination skills is an advantage; ;. 1 year's experience in work with the Government (GOV) is an advantage; ;. Good spoken English is an advantage; ;. Good written English is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,11 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33888"")",,,,,,,AWS,,,,BJM,BKO,,,,,,,,,,,,,,,,,,,,,,,,DRP,,,,,EGI,,,,,,,,GOV,,,,,,,,,,IAA,IBX,,,,,,,,,,,,,,,,,,,,,,,,LIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRO,,,,,,,,,SAN,,,,,,,,,,,SVT,,,,,,,ULS,,,,,,,,,WAS,,,,,,,,,,,,
22396,Contract Systems Analyst (Bid Ref 44554-3),3,1,Application Development,Contract,06 May 2025,01 Jun 2025 to 31 May 2026 (12 months),under InfoTech,Government T26 Contract,Yau Ma Tei,N/A - N/A,"""(T26) Support URBTIX System.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LCSD; ;As a project lead to drive and deliver sizable SI projects and provide support to the existing URBTIX system including but not limited to implement measures for combat ticket scalping activities and oversee development and implementation of the new enhancements; ;Understand the full System Development Life Cycle and able to manage project schedule; ;Resources planning and allocation; ;Measure the project progress and ensure the milestones are achievable; and ;Coordinate, liaise and monitor vendor performance in project development, delivery, rollout and ongoing support. ;""",15.0,10.0,"""Degree in Computer Science/Information System, or equivalent ;Minimum 15 years post-qualification IT experience with at least 10 years' experience in similar capacity ;Working experience in Ticketing System is a MUST ;Have working experience with government projects & vendor coordination ;Independent, proactive and able to work under pressure ;Good command of both spoken and written English and Chinese, fluent Putonghua is an advantage ;PMP or PRINCE2 Qualification is preferred ;Technical Skills: ;. At least 10 years' experience in IT Application Development and Management (ADM); ;. At least 10 years' experience in JAVA Programming (JAV); ;. At least 10 years' experience in Web Programming (WEB). ;Non-technical Skills: ;. At least 5 years' experience in work with the Government (GOV); ;. At least 5 years' experience in IT service/outsourcing management (OUT); ;. At least 5 years' experience in vendor management (VMG). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 15 years' post-qualification experience in which at least 10 years' relevant experience in a similar post and in a comparable capacity.""",N/A,22 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=22396"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VMG,,,,,,,WEB,,,,,,,,,,
33959,Contract Systems Analyst (Bid Ref 54402-1),1,1,Others,Contract,07 May 2025,02 Jun 2025 to 31 Dec 2025 (6 months),under InfoTech,Government T26 Contract,Ho Man Tin,N/A - N/A,"""(T26) Support the implementation projects and on-going maintenance of existing application systems for the Estate Management Division (EMD) of Housing Authority (HA). The involved systems manage and maintain a wide range of properties comprising public rental housing, interim housing flats, and office buildings/premises of HA.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HD; ;- Provide internal support to oversee the implementation and on-going maintenance of systems by outsource contractors ;- Provide support on requirement study ;- Support users on data analysis and system acceptance testing ;- Review project deliverables to ensure quality and security compliance meeting required departmental IT policies and guidelines ;- Support production deployment and rollout activities ;- Support change control ;- Perform tasks assigned by supervisors ;""",4.0,3.0,"""As per the skill and experience required, the applicant should possess hands-on experience. ;The applicant should be capable to work independently under pressure with tight schedule. ;Experience and knowledge in any of the following is an advantage: ;- ISO20000 ;- Development of mobile application ;- Configuration/automation tools, e.g. Gitea, Jenkins, Docker container ;- Geographic Information System (GIS) ;- Experience in system about Asset Management ;Technical Skills: ;. At least 3 years' experience in IT Application Development and Management (ADM); ;. At least 3 years' experience in JAVA Programming (JAV); ;. At least 3 years' experience in Oracle RDBMS (ODB); ;. At least 3 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 3 years' experience in Structured Query Language (SQL). ;Non-technical Skills: ;. At least 3 years' experience in IT service/outsourcing management (OUT); ;. At least 3 years' experience in vendor management (VMG); ;. At least 2 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,23 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33959"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIS,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,ODB,,,,,,,,OUT,,,,,,,,,,,,,,,,,,,,,,,SIM,,SQL,,,,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,,
22420,Contract Systems Analyst (Bid Ref 44509-4),4,1,Application Development,Contract,28 Apr 2025,01 Jun 2025 to 28 Feb 2026 (8 months),under InfoTech,Government T26 Contract,Sha Tin,N/A - N/A,"""(T26) In-house system development work of web-based system;""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LCSD; ;Carry out in-house system implementation, e.g. System Analysis and Design, system development/programming, planning and conducting system function test, system test, user acceptance test, load test, and data conversion, ...etc ;Co-ordinate with users, technical teams, outsourced contractors (if any) and any other stakeholder parties; ;Provide on-going in-house application system support and handle users' enhancement requests; ;Provide on-call support for urgent production system incidents during non-office hours; and ;Undertake any other duties assigned by supervisors including but not limited to management of administrative matters, preparation of tender documents, outsourcing management, etc. ;""",8.0,4.0,"""Have a Bachelor degree or above in Information Technology / Computer Science or related discipline; ;Have strong hands-on experience in in-house system maintenance support on web application and user support; ;Good knowledge on PC and web-based development programming language(s); ;Good command of both written & spoken English and Chinese; ;Good communication and presentation skills; ;Good working attitude; and ;Ability to work independently and under pressure. ;Technical Skills: ;. At least 6 years' experience in IT Application Development and Management (ADM); ;. At least 6 years' experience in J2EE Development (JDE); ;. At least 6 years' experience in MySQL (MSQ); ;. At least 6 years' experience in UNIX (UNX); ;. At least 6 years' experience in Web Programming (WEB). ;Non-technical Skill: ;. 5 years' experience in work with the Government (GOV) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,08 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=22420"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDE,,,,,,,,,,,,,,MSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNX,,,,,,,,,,WEB,,,,,,,,,,
33909,Contract Systems Analyst (Bid Ref 54354-1),1,1,Others,Contract,30 Apr 2025,01 Jun 2025 to 31 Oct 2025 (5 months),under InfoTech,Government T26 Contract,Tamar,N/A - N/A,"""(T26) Skilled and experienced System Analyst responsible for analyzing, designing, and implementing web-based applications for HYAB. The ideal candidate should have a strong technical background in web application development, website content management systems and workflow processes.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HYAB; ;1. Analyze business requirements and design solutions on existing HYAB Homepage, thematic websites and the revamp of Youth Portal (www.youth.gov.hk); ;2. Acquire and manage outsourced contractors responsible for developing and maintaining the HYAB websites with web content management and other workflow system services; ;3. Collaborate with cross-functional teams to ensure that the applications meet the needs of the end-users; ;4. Contribute to the development of project plans, including timelines, deliverables, and milestones; ;5. Work with other team members to develop and maintain system documentation. ;""",12.0,5.0,"""a. Strong technical skills in HTML, CSS, JavaScript, jQuery, AJAX, PHP, and MySQL. ;b. Experience with content management system. ;c. Knowledge of workflow processes and tools. ;d. Excellent problem-solving and analytical skills. ;e. Strong communication and interpersonal skills. ;f. Ability to work independently and as part of a team. ;Technical Skills: ;. At least 12 years' experience in Anti-Spam Technology (AST); ;. At least 12 years' experience in System Backup Operation (BKO); ;. At least 12 years' experience in Chinese Processing (CHI); ;. At least 12 years' experience in Confidential Mail System (CMS); ;. At least 12 years' experience in Imaging (IMG); ;. At least 12 years' experience in Internet/ Intranet (INT); ;. At least 12 years' experience in Multimedia (MUL); ;. At least 12 years' experience in Networking (NET); ;. At least 12 years' experience in PC LAN Support (PLS); ;. At least 12 years' experience in Router Configuration (ROU); ;. At least 12 years' experience in Website Administration (WEA); ;. At least 12 years' experience in Web Programming (WEB); ;. At least 12 years' experience in Web Hosting, Design and Maintenance (WED); ;. At least 12 years' experience in Wireless and Mobile (WLM). ;Non-technical Skills: ;. At least 12 years' experience in customer service (CLS); ;. At least 12 years' experience in helpdesk call handling (HDT); ;. At least 11 years' experience in IT audit (ITA); ;. At least 11 years' experience in work with the Government (GOV); ;. At least 11 years' experience in the management and support of Government systems and services (GSS). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 12 years' post-qualification experience in which at least 5 years' relevant experience in a similar post and in a comparable capacity.""",N/A,15 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33909"")",,,,AST,,,,,,,,BKO,,,,,,,CHI,,,,,CLS,CMS,,,,,,,,,,,,,,,,,,,,,,,,GOV,,GSS,,,,,HDT,,,,,,,IMG,,INT,,,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,MUL,,,,NET,,,,,,,,,,,,,,,,,,,,PLS,,,,,,,,,,,,ROU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WEA,WEB,WED,,,WLM,,,,,,
33971,Contract Systems Analyst (Bid Ref 54333-1),1,1,Others,Contract,08 May 2025,16 Jun 2025 to 15 Mar 2026 (9 months),under InfoTech,Government T26 Contract,Wan Chai,N/A - N/A,"""(T26) Project nature relates to IT industry facilitation, including e-sports facilitation, supporting data centre facilitation unit, researching and preparing various reports and briefs on latest ICT trend and technology.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;(1) To assist in carrying out research and analysis on data centre market and e-sports market in Hong Kong and globally;(2) To assist in assessing applications of the data centre incentive measures from public;(3) To liaise with bureaux and departments on and assist in the engineering technical studies and land disposal arrangements for sites in new development areas for use as data centres;(4) To provide support to senior officials engagement in events related to data centre industry and e-sports industry;(5) To assist in assessing applications for exemption of game centre licences for e-sports venues;(6) To render technical support in other ICT matters and to perform other tasks as assigned;(7) To maintain the thematic website on promoting data centre development in HK ;""",4.0,1.0,"""The candidate is required to have understanding on e-sports industry, data centre industry in Hong Kong, and preferably to possess experiences in facilitating industry development in Hong Kong. The candidate should also have experiences in management of ICT events, research activities, liaison among different stakeholders as well as good command of English and Chinese. ;Technical Skills: ;. At least 2 years' experience in Website Administration (WEA); ;. At least 2 years' experience in Web Programming (WEB); ;. At least 1 year's experience in HTML5 (HT5); ;. 6 months' experience in JavaScript Programming (JAP) is an advantage; ;. 6 months' experience in JAVA Programming (JAV) is an advantage; ;. 6 months' experience in Windows 7/8/10 (W10) is an advantage. ;Non-technical Skills: ;. Good coordination skills is a must; ;. At least 1 year's experience in work with the Government (GOV); ;. At least 1 year's experience in helpdesk call handling (HDT); ;. Good written English is a must; ;. Good spoken English is an advantage; ;. 6 months' experience in IT advisory and promotion, e.g. exhibition, publication (APR) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,24 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33971"")",,,APR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,HDT,,,,,,,,,,,,,,,,,,,,,JAP,,JAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WEA,WEB,,,,,,,,,,
33924,Contract Senior Systems Analyst (Bid Ref 54324-1),1,1,Application Development,Contract,02 May 2025,01 Jun 2025 to 30 Nov 2025 (5 months),under InfoTech,Government T26 Contract,San Po Kong (Kai Tak) or other Government offices if required,N/A - N/A,"""(T26) Enhancement and on-going support for various application systems of TID""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the TID; ;- To conduct system analysis and design for enhancements of application systems ;- To lead programmers to implement enhancements for application systems ;- To prepare and conduct system testing and user acceptance ;- To provide on-going support to application systems ;- To devise and maintain relevant procedures/guidelines in line with standards ;- To carry out quality control and quality assurance, and project management duties as designated by the project manager ;- To monitor all phases of computer projects including without limitation to feasibility study, systems analysis and design, procurement and installation of computer systems, programming, implementation, system test, user acceptance test, system nursing and maintenance ;- To monitor and report system usage and to recommend and control the allocation of computer resources ;- To monitor the performance of subordinates ;""",8.0,6.0,"""Candidates must have leading role experiences in application development projects. They must be knowledgeable and experienced in system analysis and design. They must be proficient and with solid hands-on experience in JAVA programming, Oracle Forms and Reports 11g, Oracle Application Server and Oracle database. Experience with PL/SQL, Java Application Framework (e.g. Struts and Spring) and Windows Server are also an advantage. Successful candidate may be required to work overtime subject to workload and urgency of the task(s) assigned to him/her. ;Technical Skills: ;. At least 8 years' experience in Developer/2000 (DEV); ;. At least 4 years' experience in JAVA Programming (JAV); ;. At least 4 years' experience in Oracle Application Server (OAS); ;. At least 4 years' experience in Oracle RDBMS (ODB); ;. At least 2 years' experience in Oracle Application Server Admin. and Tuning (OAT); ;. 4 years' experience in Windows Server 2008/2012 (W12) is an advantage; ;. 2 years' experience in SQL*PLUS/PL/SQL/PRO*C (OPL) is an advantage; ;. 2 years' experience in e-Leave (ELE) is an advantage; ;. 2 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF) is an advantage; ;. 2 years' experience in JavaScript Programming (JAP) is an advantage. ;Non-technical Skills: ;. 4 years' experience in work with the Government (GOV) is an advantage; ;. 4 years' experience in project management (PRM) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 6 years' relevant experience in a similar post and in a comparable capacity.""",N/A,17 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33924"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEV,,,,,,,,,,,ELE,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,JAF,JAP,,JAV,,,,,,,,,,,,,,,,,,,,,,,,,OAS,OAT,,ODB,,,,,OPL,,,,,,,,,,,,PRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33936,Contract Systems Analyst (Bid Ref 54375-1),1,1,Others,Contract,02 May 2025,01 Jun 2025 to 30 Nov 2025 (5 months),under InfoTech,Government T26 Contract,Trade and Industry Department Offices,N/A - N/A,"""(T26) To assist in on-going management of the office automation system and administration of related services in the office.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the TID; ;- To provide first-line/second-line troubleshooting support of Government Office Automation (GOA) Systems such as Windows Domains, file servers, electronic messaging systems (Lotus Notes, CMS, CMMP etc.), Mobile Device Management (MDM) servers (MCMS, MobileIron etc.), including the management of GOA servers in server rooms and Disaster Recovery facilities located at remote site ;- To assist CSSA in providing smooth operation of GOA systems, including IT equipment deployment, system monitoring &on-going tuning, system software upgrade and patch management ;- To perform design, capacity planning and implementation of system infrastructure for existing and new projects ;- To plan, implement and review on emerging technologies for enhancement of the GOA systems ;- To develop housekeeping jobs for security control, job accounting, system and data backup, and media management purpose ;- To perform other duties as assigned by senior officers ;""",6.0,4.0,"""The candidate must be proficient and with hands-on experience in Windows Server administration, AD administration, Server Virtualization and Mobile Email/Device Management. Experience on Microsoft Exchange/Outlook and Government security is desirable. Candidate with experience in large-scale (over 500 users) system management/implementation is an advantage. Solid experience in Lotus Notes & CMS & CMMP administration, application development, configuration and support is an advantage. Successful candidate may be required to work overtime for ad hoc jobs or support services during non-office hours and holidays. ;Technical Skills: ;. At least 6 years' experience in Microsoft Active Directory Administration (ADA); ;. At least 6 years' experience in Office Automation (OAN); ;. At least 4 years' experience in Confidential Mail System (CMS); ;. At least 4 years' experience in Lotus Notes Mail Admin. & Technical Support (LNM); ;. At least 4 years' experience in Windows Server 2008/2012 (W12); ;. 6 years' experience in Windows 7/8/10 (W10) is an advantage; ;. 6 years' experience in PC LAN Support (PLS) is an advantage; ;. 4 years' experience in System Implementation and Maintenance/Support (SIM) is an advantage; ;. 4 years' experience in Server Virtualisation Technology (SVT) is an advantage; ;. 4 years' experience in Virtual Private Network (VPN) is an advantage; ;. 4 years' experience in Disaster Recovery Planning (DRP) is an advantage; ;. 4 years' experience in Endpoint Security Solutions (ESS) is an advantage; ;. 4 years' experience in Anti-Virus Technology (AVT) is an advantage; ;. 4 years' experience in Lotus Notes Administration & Technical Support (LON) is an advantage; ;. 4 years' experience in Mobile / Wireless Communication (MWC) is an advantage; ;. 2 years' experience in Wireless and Mobile (WLM) is an advantage; ;. 2 years' experience in System Backup with Bightstor ArcServe (BAS) is an advantage. ;Non-technical Skills: ;. At least 4 years' experience in work with the Government (GOV); ;. 4 years' experience in customer service (CLS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,17 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33936"")",ADA,,,,,AVT,,BAS,,,,,,,,,,,,,,,,CLS,CMS,,,,,,,,,,,DRP,,,,,,,,,ESS,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LNM,LON,,,,,,,,,,MWC,,,,,,OAN,,,,,,,,,,,,,,,,,PLS,,,,,,,,,,,,,,,,,,SIM,,,,,,,SVT,,,,,,,,,,,,VPN,,,,,,,,,,WLM,,,,,,
33896,Contract Project Manager (Bid Ref 54278-1),1,1,Others,Contract,29 Apr 2025,02 Jun 2025 to 31 Dec 2025 (6 months),under InfoTech,Government T26 Contract,Wan Chai,N/A - N/A,"""(T26) This is a CPM position to manage the Government Central Gateway (GCG) of Government Electronic Trading Services (GETS).""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;The major job duties include but are not limited to the following: ;- to manage the team to support the application of GCG and operation system for the commissioning of the GCG; ;- to supervise the maintenance and enhancements of GCG application system; ;- to manage the team for the routine tasks, such as Information Security Incident Handling Drill, Security Risk Assessment and Audit and Disaster Recovery Drill; ;- to liaise with GETS Service Providers on operational issues of GETS; and ;- to perform the tasks assigned by the line manager. ;""",8.0,2.0,"""- Require good project management and technical consultancy; ;- Require solid experience in managing large scale IT system; ;- It is preferably with exposure in mission critical Government IT systems; and ;- Require solid experience in technical skills required. ;Technical Skills: ;. At least 3 years' experience in IT Application Development and Management (ADM); ;. At least 2 years' experience in Multi-vendor Mission Critical System (MCS); ;. At least 2 years' experience in Security Incident Detection and Handling (SDH); ;. At least 2 years' experience in Structured Query Language (SQL); ;. 2 years' experience in Unix/Linux Shell Scripting (ULS) is an advantage; ;. 2 years' experience in JAVA Programming (JAV) is an advantage. ;Non-technical Skills: ;. At least 2 years' experience in project management (PRM); ;. 1 year's experience in the management and support of Government systems and services (GSS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,15 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33896"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAV,,,,,,,,,MCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRM,,,,,,,,,,,SDH,,,,,SQL,,,,,,,,,,,,ULS,,,,,,,,,,,,,,,,,,,,,
